system,family,probe,classifier,threshold_mode,source_group_macro_f1,source_group_weighted_f1,normal_f1,sensor_local_f1,process_f1,fault_source_macro_f1,binary_roc_auc,binary_pr_auc,binary_f1_train_threshold,false_alarm_rate_train_threshold,probe_train_seconds,selected_threshold,notes,localization_top1,localization_top2,localization_mrr,localization_mean_rank,dataset,seed,severity,n_train_per_class,n_test_per_class,split_protocol,ae_kind,selected_lr,selected_hidden,selected_latent,best_epoch,selected_epoch_budget,best_val_loss,ae_train_seconds,device,n_calibration_train,n_calibration_val,ae_feature_infer_ms_per_window
tuned_tcn_ae_hier,strengthened_reconstruction,hier,logistic,train_f1,0.374414950032689,0.5859066301358253,0.1320754716981132,0.6916524701873935,0.2995169082125604,0.5563923348722049,0.55785,0.9200015482612244,0.8841309823677582,0.86,0.0262323999995715,0.3687420488235569,,0.34,0.5142857142857142,0.5445238095238095,2.8142857142857145,uci_har,3,1.5,50,50,subject-disjoint partition within UCI HAR train split,tcn,0.001,48.0,-1.0,99.0,100.0,0.0104677015915513,84.92868979999912,cuda,398.0,99.0,0.0404693629215494
tuned_usad_ae_hier,strengthened_reconstruction,hier,logistic,train_f1,0.3456415265129147,0.52819319320342,0.1639344262295081,0.6194690265486725,0.2535211267605634,0.5236637065768432,0.53665,0.9080835271413508,0.8688946015424165,0.8,0.0268604999982926,0.3815754572509037,,0.26,0.4171428571428571,0.4688571428571428,3.36,uci_har,3,1.5,50,50,subject-disjoint partition within UCI HAR train split,usad,0.0005,256.0,64.0,91.0,100.0,0.5207255482673645,3.273749199997837,cuda,398.0,99.0,0.0299954903358901
gru_ae_hier,strengthened_reconstruction,hier,logistic,train_f1,0.3984996453954033,0.5395720839645327,0.2745098039215686,0.6101083032490975,0.310880829015544,0.5661296632170418,0.6128,0.9136270223255792,0.8514056224899599,0.58,0.0258708000001206,0.394970064924287,,0.1942857142857142,0.36,0.4180952380952381,3.6342857142857135,uci_har,3,1.5,50,50,subject-disjoint partition within UCI HAR train split,gru,0.001,64.0,-1.0,100.0,100.0,0.8358110189437866,4.425244699999894,cuda,398.0,99.0,0.0336548317842196
statistical_flat,baseline,flat,logistic,train_f1,0.5953625235404897,0.6888496547394852,0.2708333333333333,0.735593220338983,0.7796610169491526,0.8790078644888082,0.6942999999999999,0.9489501060491998,0.9361702127659576,1.0,0.0135931999975582,0.034953479772379,,0.1857142857142857,0.3257142857142857,0.4134761904761905,3.5428571428571427,uci_har,3,1.75,50,50,subject-disjoint partition within UCI HAR train split,,,,,,,,,,,,
statistical_hier,baseline,hier,logistic,train_f1,0.6265276765621578,0.7438609896070805,0.2875816993464052,0.8025276461295419,0.7894736842105263,0.881490641625124,0.67735,0.942067189135024,0.8540829986613119,0.56,0.0303496000015002,0.3859920625339639,,0.1857142857142857,0.3257142857142857,0.4134761904761905,3.5428571428571427,uci_har,3,1.75,50,50,subject-disjoint partition within UCI HAR train split,,,,,,,,,,,,
spectral_flat,baseline,flat,logistic,train_f1,0.5876791345179623,0.7385052485710404,0.2945736434108527,0.8139183055975794,0.6545454545454545,0.8035024363042527,0.7495499999999999,0.9624593976017892,0.913793103448276,0.82,0.0262930000026244,0.1859244595899964,,0.1857142857142857,0.3457142857142857,0.4217142857142857,3.4514285714285715,uci_har,3,1.75,50,50,subject-disjoint partition within UCI HAR train split,,,,,,,,,,,,
spectral_hier,baseline,hier,logistic,train_f1,0.5813334653378215,0.7616435292133266,0.25,0.8517985611510791,0.6422018348623854,0.800407277042791,0.7328999999999999,0.959288551490741,0.9104477611940298,0.76,0.035302699998283,0.1622228509495072,,0.1857142857142857,0.3457142857142857,0.4217142857142857,3.4514285714285715,uci_har,3,1.75,50,50,subject-disjoint partition within UCI HAR train split,,,,,,,,,,,,
stat_spectral_hier,baseline,hier,logistic,train_f1,0.6414620897343042,0.806204335506169,0.225,0.8885754583921015,0.8108108108108109,0.8990958456697513,0.7917500000000001,0.9687051911135128,0.9243902439024392,0.82,0.0364391000002797,0.1652682122186857,,0.1857142857142857,0.3257142857142857,0.4134761904761905,3.5428571428571427,uci_har,3,1.75,50,50,subject-disjoint partition within UCI HAR train split,,,,,,,,,,,,
diagnostic_signature_only_hier,feature_block_ablation,hier,logistic,train_f1,0.6620531685733414,0.8066594135398171,0.2708333333333333,0.8789625360230547,0.8363636363636363,0.9143652322843074,0.80455,0.9731382495428044,0.9129353233830846,0.74,0.0378739999978279,0.2709376063034711,,0.6628571428571428,0.7285714285714285,0.763904761904762,1.9514285714285715,uci_har,3,1.75,50,50,subject-disjoint partition within UCI HAR train split,,,,,,,,,,,,
residual_summaries_only_hier,feature_block_ablation,hier,logistic,train_f1,0.5176444689842331,0.6762994960922791,0.2518518518518518,0.7556270096463023,0.5454545454545454,0.7372914751083672,0.7083999999999999,0.9558345346286644,0.8679738562091504,0.66,0.0298127999994903,0.3791337825984958,,0.6628571428571428,0.7285714285714285,0.763904761904762,1.9514285714285715,uci_har,3,1.75,50,50,subject-disjoint partition within UCI HAR train split,,,,,,,,,,,,
