dataset,seed,severity,method,n,top1,top2,mrr,mean_rank
synthetic,4,0.75,supervised_channel_ae_only_hgb,350,0.8257142857142857,0.8828571428571429,0.8860543966293335,1.408571481704712
synthetic,4,1.0,supervised_channel_hra_ae_hgb,350,0.9,0.9771428571428572,0.9447142481803894,1.145714282989502
synthetic,4,1.0,supervised_channel_ae_only_hgb,350,0.9057142857142856,0.9514285714285714,0.9414761662483216,1.1942857503890991
synthetic,4,1.25,supervised_channel_hra_ae_hgb,350,0.9428571428571428,0.9885714285714284,0.9690476655960084,1.0742857456207275
synthetic,4,1.25,supervised_channel_ae_only_hgb,350,0.9371428571428572,0.9657142857142856,0.9619320034980774,1.1142857074737549
synthetic,4,1.5,supervised_channel_hra_ae_hgb,350,0.9657142857142856,0.9971428571428572,0.9823808670043944,1.0371428728103638
synthetic,4,1.5,supervised_channel_ae_only_hgb,350,0.9571428571428572,0.9885714285714284,0.9766666889190674,1.054285764694214
synthetic,4,1.75,supervised_channel_hra_ae_hgb,350,0.9828571428571428,0.9971428571428572,0.9909524321556092,1.0199999809265137
synthetic,4,1.75,supervised_channel_ae_only_hgb,350,0.98,0.9885714285714284,0.987074851989746,1.0485714673995972
uci_har,0,0.75,supervised_channel_hra_ae_hgb,350,0.6857142857142857,0.8,0.7925714254379272,1.768571376800537
uci_har,0,0.75,supervised_channel_ae_only_hgb,350,0.7142857142857143,0.8085714285714286,0.8092381358146667,1.7171428203582764
uci_har,0,1.0,supervised_channel_hra_ae_hgb,350,0.6857142857142857,0.8057142857142857,0.7935238480567932,1.7714285850524902
uci_har,0,1.0,supervised_channel_ae_only_hgb,350,0.7285714285714285,0.82,0.8186666369438171,1.6857142448425293
uci_har,0,1.25,supervised_channel_hra_ae_hgb,350,0.7057142857142857,0.7914285714285715,0.8052857518196106,1.6885714530944824
uci_har,0,1.25,supervised_channel_ae_only_hgb,350,0.7457142857142857,0.8085714285714286,0.8243809342384338,1.7028571367263794
uci_har,0,1.5,supervised_channel_hra_ae_hgb,350,0.74,0.8314285714285714,0.8286190629005432,1.6342856884002686
uci_har,0,1.5,supervised_channel_ae_only_hgb,350,0.7457142857142857,0.82,0.8288094401359558,1.645714282989502
uci_har,0,1.75,supervised_channel_hra_ae_hgb,350,0.7542857142857143,0.84,0.8377142548561096,1.6028571128845217
uci_har,0,1.75,supervised_channel_ae_only_hgb,350,0.76,0.8171428571428572,0.8356190919876099,1.628571391105652
